unique_incident_id,incident_id,incident_seq,publication_date,headline,publication
180140000,1801400,00,2018-02-27,Daesh Key Commander among 13 Killed in North Afghanistan - Other Media news - Tasnim News Agency,Tasnim
180140100,1801401,00,2018-02-27,"Suspected Herdsmen attack Adamawa community - Daily Post Nigeria, 2018-02-27",Daily Post News Nigeria
180140200,1801402,00,2018-02-27,"5 injured after attack in Greek anti-fascist centre – BorneoPost Online Borneo , Malaysia, Sarawak Daily News Largest English Daily In Borneo",Borneo Post
180140300,1801403,00,2018-03-01,Reds attack defenseless civilians in 2 Quezon towns,Philippine News Agency
180140402,1801404,02,2018-02-27,"One civilian killed, 20 others injured due to terrorist attacks in Damascus Countryside, Idleb and Deir Ezzor – Syrian Arab News Agency",SANA
180140403,1801404,03,2018-02-27,"One civilian killed, 20 others injured due to terrorist attacks in Damascus Countryside, Idleb and Deir Ezzor – Syrian Arab News Agency",SANA
180140404,1801404,04,2018-02-27,"One civilian killed, 20 others injured due to terrorist attacks in Damascus Countryside, Idleb and Deir Ezzor – Syrian Arab News Agency",SANA
180140405,1801404,05,2018-02-27,"One civilian killed, 20 others injured due to terrorist attacks in Damascus Countryside, Idleb and Deir Ezzor – Syrian Arab News Agency",SANA
180140406,1801404,06,2018-02-27,"One civilian killed, 20 others injured due to terrorist attacks in Damascus Countryside, Idleb and Deir Ezzor – Syrian Arab News Agency",SANA
180140401,1801404,01,2018-02-27,"One civilian killed, 20 others injured due to terrorist attacks in Damascus Countryside, Idleb and Deir Ezzor – Syrian Arab News Agency",SANA
180140501,1801405,01,2018-02-27,"One civilian killed, 20 others injured due to terrorist attacks in Damascus Countryside, Idleb and Deir Ezzor – Syrian Arab News Agency",SANA
180140502,1801405,02,2018-02-27,"One civilian killed, 20 others injured due to terrorist attacks in Damascus Countryside, Idleb and Deir Ezzor – Syrian Arab News Agency",SANA
180140600,1801406,00,2018-02-27,"One civilian killed, 20 others injured due to terrorist attacks in Damascus Countryside, Idleb and Deir Ezzor – Syrian Arab News Agency",SANA
180140700,1801407,00,2018-02-27,1 PKK killed in Amanos Mountains,hurriyet.com.tr
180140800,1801408,00,,"A group of suspected LRA ambushed and beat up a man near Kulugbangu, DRC.",Crisis Tracker
180140900,1801409,00,2018-03-01,"Three dead, 12 wounded in North Darfur raids",Dabanga
180141000,1801410,00,2018-02-27,3 jawans injured in Chhattisgarh encounter with Maoists,United News of India
180141100,1801411,00,2018-02-27,civilian was injured in a bomb explosion at a polling booth in Nagalands Tizit town,India Today
180141200,1801412,00,2018-02-27,"Four Sunni fighters killed, injured in Baghdad shooting",Iraqinews.com
180141300,1801413,00,2018-02-27,Blast outside linens store rocks Glyfada in early hours,kathimerini
180141400,1801414,00,2018-02-28,PTI MPA Escapes Terrorist Attack,Business Recorder
180141500,1801415,00,2018-02-28,"Taliban attack kills 2, wounds 3 in N. Afghanistan. www.xinhuanet.com. Retrieved 2018-03-01.",XINHUA
180141600,1801416,00,2018-02-28,"UN Convoy in Mali Targeted by Roadside Bombing, Killing Four Soldiers",Benin Web TV
180141700,1801417,00,2019-01-28,"Gul, Ayaz. Deadly Suicide Attack Targets Quetta, Pakistan. VOA. Retrieved 2018-03-01.",VOA News
180141800,1801418,00,2018-03-01,Deadly Ambush in Colombia: National Liberation Army Suspected in Attack that Leaves Soldier Dead and Four Injured,El tiempo
180141900,1801419,00,2018-02-28,Two policemen martyred in attack on DSP's vehicle in Quetta,Geo News
180142000,1801420,00,2018-02-28,1 PMF killed and 1 injured when PMFs repelled an ISIL attack.,alwaienews.net
180142100,1801421,00,2018-03-01,Far-right CasaPound activist 'attacked in Livorno',ANSA
180142200,1801422,00,2018-03-01,"17 Houthis killed, dozens injured in Sanaa battles with Yemeni army",english.alarabiya.net
180142300,1801423,00,2018-03-01,7 killed in clash at Colombia-Venezuela border The Malaysian Insight,The Malaysian Insight
180142400,1801424,00,2018-02-28,Civilians killed as armed groups clash in Libyan south -  - Jerusalem Post,Jerusalem Post
180142501,1801425,01,2018-02-28,"Two martyred, 18 civilians, mostly children and women, injured in terrorist attacks in Daraa and Quneitra – Syrian Arab News Agency",SANA
180142502,1801425,02,2018-02-28,"Two martyred, 18 civilians, mostly children and women, injured in terrorist attacks in Daraa and Quneitra – Syrian Arab News Agency",SANA
180142601,1801426,01,2018-02-28,"Two martyred, 18 civilians, mostly children and women, injured in terrorist attacks in Daraa and Quneitra – Syrian Arab News Agency",SANA
180142602,1801426,02,2018-02-28,"Two martyred, 18 civilians, mostly children and women, injured in terrorist attacks in Daraa and Quneitra – Syrian Arab News Agency",SANA
180142603,1801426,03,2018-02-28,"Two martyred, 18 civilians, mostly children and women, injured in terrorist attacks in Daraa and Quneitra – Syrian Arab News Agency",SANA
180142700,1801427,00,2018-02-28,"Russian MoD  Terrorists continue offensive in Aleppo, Latakia and Daraa - Syrian army foils rebel attempt to smuggle heavy weapons into East Ghouta -- Puppet Masters -- Sott.net",Signs of the Times
180142800,1801428,00,2018-03-06,"Al Shabaab kill nine donkeys, abduct villagers in Somalia The Star, Kenya",The Star Kenya
180142900,1801429,00,2018-03-01,3 suspected Shabaab militants arrested in Wajir following thwarted attack,Capital FM 
180143000,1801430,00,2018-03-04,"Govt. militia beat, rob residents of South Darfur camp",Dabanga
180143100,1801431,00,2018-02-28,Hand Grenade Targets Residence of Abou Arkoub in Ein Al Helweh,National News Agency
180143200,1801432,00,2018-02-28,Four civilians injured in bomb blast in southern Baghdad,IRAQ NEWS
180143300,1801433,00,2018-02-28,9 IS terrorists killed in Afghanistan Business Standard News,Business Standard
180143400,1801434,00,2019-09-05,"Timeline Terrorist Activities, Punjab",SATP
180143500,1801435,00,2018-03-01,"Former Militant Shot and Wounded in Tral, India - Perpetrators Remain Unknown",Daily Excelsior
180143600,1801436,00,2018-02-28,Six aid workers killed in C. Africa,African Medias
180143700,1801437,00,2018-02-28,Somali police arrest 13 militants with explosive-laden car in central Somalia.,Kulmiye Radio
180143800,1801438,00,2018-03-01,"Five Iraqi soldiers killed, injured in Islamic State attack, west of Mosul",IraqiNews.com
180143900,1801439,00,2018-03-02,"Boko Haram abducts 3 people in Madagali, Adamawa - Daily Post Nigeria. Daily Post Nigeria. 2018-03-02. Retrieved 2018-03-03.",Daily Post Nigeria
180144000,1801440,00,2018-03-02,Suicide attack outside Mogadishu kills 3 people. Anadolu Agency. Retrieved 2018-03-02.,Anadolu Agency
180144100,1801441,00,2018-03-01,Mortar attack in Mogadishu kills three people  peacekeepers. Reuters. 2018-03-02. Retrieved 2018-03-02.,Reuters
180144200,1801442,00,2018-03-01,"Dozens Said Killed in Third Day of 'Pause' in Syria's Ghouta, BBC Monitoring, 2018-03-01",BBC Monitoring
180144300,1801443,00,2018-03-01,Lashkar terrorist killed in encounter in Jammu and Kashmir's Bandipora; search operation launched India News – India TV,INDIA TV
180144400,1801444,00,2018-03-02,"Boko Haram abducts 3 people in Madagali, Adamawa - Daily Post Nigeria. Daily Post Nigeria. 2018-03-02. Retrieved 2018-03-03.",Daily Post Nigeria
180144500,1801445,00,2018-03-01,"Local politician escapes bomb attack, 2 guards dead in Afghan province - Xinhua English.news.cn",Xinhua Net
180144600,1801446,00,2018-03-01,27 IS militants killed in northern Afghan province - Xinhua English.news.cn,Xinhua Net
180144700,1801447,00,2018-03-02,Troops clear more enclaves in Sambisa Forest - The Nation Nigeria. The Nation Nigeria. 2018-03-02. Retrieved 2018-03-03.,The Nation Nigeria
180144800,1801448,00,2018-03-02,"Eight Turkish soldiers killed in Syria, 13 wounded  army World thenews.com.pk",The News
180144900,1801449,00,2018-03-01,Russia says Syrian rebels killed civilians in eastern Ghouta - agencies Reuters,Reuters
180145000,1801450,00,2018-03-14,Batangas PNP warns barangay officials not to support NPA,Manila Bulletin
180145100,1801451,00,,"Egypt  13 terrorists, two army officers killed in raids on militant hideouts in North Sinai - Firstpost",firstpost.com
180145200,1801452,00,2018-04-01,Al-Shabaab attack kills dozens of Ugandan soldiers in Somalia,The Guardian
180145300,1801453,00,2018-03-03,15 Killed In Attacks On Fulani Communities In Taraba,Sahara Reporters
180145400,1801454,00,2018-03-01,Anarchists threaten escalation in violence,Kathimerini
180145500,1801455,00,2018-03-02,1 killed 5 in a clash with ISIL- Arbic,Basnews.com
180145602,1801456,02,2018-03-02,Army HQ and French embassy attacked in Burkina Faso capital,The Guardian
180145601,1801456,01,2019-03-02,At least 30 dead as French embassy comes under attack in Burkina Faso. The Telegraph. ISSN 0307-1235. Retrieved 2018-03-05.,The Telegraph
180145700,1801457,00,2018-03-02,"Three Killed, 22 Wounded In Kabul Car Bomb Explosion. TOLOnews. Retrieved 2018-03-02.",TOLOnews
180145800,1801458,00,2018-03-03,"Fino attack could be a revenge mission, ofi cial",The Star
180145900,1801459,00,2018-03-02,Female suicide bomber attacks mosque in Yobe,Pulse News
180146002,1801460,02,2018-03-02,At Least 5 Somali Soldiers Killed in Related Attacks,Voice of America
180146001,1801460,01,2018-03-02,Al-Shabaab kills 11 in separate attacks in Somalia. Retrieved 2018-03-03.,IOL News
180146101,1801461,01,2018-03-02,Al-Shabaab kills 11 in separate attacks in Somalia,IOL News
180146102,1801461,02,2018-03-02,Al-Shabaab kills 11 in separate attacks in Somalia,IOL
180146200,1801462,00,2018-03-02,"10 Maoists, 1 Greyhounds constable killed in encounter in Chhattisgarh's Bijapur. hindustantimes. 2018-03-02. Retrieved 2018-03-18.",Hindustan Times
180146300,1801463,00,2018-03-03,"Captain, soldier injured in blast",Dawn
180146400,1801464,00,2018-03-02,"IS claims downing US spy balloon in Iraq, 2018-03-02, By BBC Monitoring",BBC Monitoring
180146500,1801465,00,2018-03-03,Three Burundian peacekeepers killed in Al-Shabaab ambush in Somalia - WardheerNews,Wardheernews
180146600,1801466,00,2018-03-03,"10 maoists, elite force personnel die in gun battle",The Economic Times
180146701,1801467,01,2019-04-02,Suspected Boko Haram militants kill 11 including three aid workers in Nigeria,Reuters 
180146702,1801467,02,2018-10-15,Aid Worker Killed in Nigeria After Islamists’ Deadline Expires  Government,The Epoch Times
180146802,1801468,02,2018-03-04,South African trainers killed in Somalia,Shabelle Media
180146801,1801468,01,2018-03-06,"Four South African soldiers reportedly killed in Somalia, 2018-03-06, By BBC Monitoring",BBC Monitoring
180146900,1801469,00,2018-03-04,"Shabaab targets Somali, African Union troops in southern Somalia",Long War Journal
180147000,1801470,00,2018-03-03,Militants suffer casualties in premature bomb explosion in East of Afghanistan - The Khaama Press News Agency,KHAAMA PRESS
180147100,1801471,00,2019-03-03,Pakistani oil engineer kidnapped in southern Libya - China.org.cn,China.org
180147200,1801472,00,2018-03-02,Ethnic clashes in northeastern Congo kill more than 40 peopl,Reuters
180147302,1801473,02,2018-03-02,Russian Defense Ministry  Russian Reconciliation Center in Damascus Countryside was shelled by militants,SANA
180147301,1801473,01,2018-03-02,"Three children injured due to terrorist attacks with shells on Damascus,its Countryside – Syrian Arab News Agency",SANA
180147401,1801474,01,2018-03-02,"Three children injured due to terrorist attacks with shells on Damascus,its Countryside – Syrian Arab News Agency",SANA
180147402,1801474,02,2018-03-02,"Three children injured due to terrorist attacks with shells on Damascus,its Countryside – Syrian Arab News Agency",SANA
180147500,1801475,00,2018-03-02,"Clash among Taliban and ISIS leaves 3 dead, 5 wounded in Nangarhar",KHAAMA PRESS
180147600,1801476,00,2018-03-02,Hot conflict in Erzurum  PKK is in shock!,haber7.com
180147700,1801477,00,2018-03-02,Taliban execute 3 alleged kidnappers in Farah,PAJHWOK
180147800,1801478,00,2018-03-03,"Al-Qaeda militant on 'most wanted list' arrested in Pakistan, 2018-03-03, By BBC Monitoring",BBC Monitoring
180147900,1801479,00,2019-03-02,Troops clear more enclaves in Sambisa Forest,The Nation
180148000,1801480,00,2018-03-03,Deadly Attack in Caldono: Two Police Officers Killed in ELN Assault,RCN Radio
180148100,1801481,00,2018-03-03,Top Bangladesh sci-fi writer stabbed in head at seminar. Mail Online. Retrieved 2018-07-01.,DAILY MAIL
180148200,1801482,00,2018-03-05,Seven dead in east DR Congo raid blamed on Ugandan rebels. Daily Monitor. Retrieved 2018-03-10.,Daily Monitor
180148300,1801483,00,2018-03-03,"Libyan GNA-linked militia captures 'Islamic State fighters', 2018-03-03, By BBC Monitoring",BBC Monitoring
180148400,1801484,00,2018-03-04,"Afghanistan  Four Taliban Mine Planters Killed in Jowzjan Province, Ministry of Interior Online, 2018-03-04",Afghanistan Ministry of Interior
180148502,1801485,02,2018-03-03,"Al-Shabab says kills 12 Kenyan soldiers in attack, 2018-03-03, By BBC Monitoring",BBC Monitoring
180148501,1801485,01,2018-03-03,"Al-Shabab says kills 12 Kenyan soldiers in attack, 2018-03-03, By BBC Monitoring",BBC Monitoring
180148700,1801487,00,,"LRA forces ambushed 3 motorcyclists, killing 1 and using the other 2 as porters to transport looted goods.",Crisis Tracker
180148800,1801488,00,2018-03-05,Govt. forces attack villagers in Central Darfur,Dabanga
180148900,1801489,00,2018-03-03,Indonesian soldier fatally shot in Papua's Puncak Jaya RNZ News,Radio New Zealand 
180149000,1801490,00,2018-03-04,6 NPA rebels nabbed in Negros firefight,Manila Times
180149100,1801491,00,2018-03-09,5 loggers kidnapped; 1 killed in rescue bid,Phil Star Global
180149200,1801492,00,2019-03-04,IDF Strikes Hamas for Daily Explosive Balloon Attacks on Southern Israel,Jewish Press
180149300,1801493,00,2019-03-04,4 hurt in suspected car-ramming attack in northern Israel. Retrieved 2018-03-07.,The Times of Israel
180149400,1801494,00,2018-03-05,Shia youth embraces martyrdom in terrorist attack in Pakistan's Quetta. Retrieved 2018-03-10.,ABNA
180149500,1801495,00,2018-03-04,Two injured in Turbat grenade blast,Geo News
180149600,1801496,00,2018-03-04,20 Islamic State militants killed in clashes with Iraqi forces in Hawija,iraqinews.com
180149700,1801497,00,2018-03-05,"Four soldiers, 10 Jihadists killed in Sinai World thenews.com.pk Karachi",Agence France Presse
180149800,1801498,00,2018-03-04,Jammu and Kashmir  One terrorist gunned down by security forces in Shopian India News – India TV,INDIA TV
180149900,1801499,00,2018-03-04,Somalia  Al Shabaab Fires Mortars At Amisom Base in Lower Shabelle Region - allAfrica.com,All Africa
180150000,1801500,00,2018-03-05,"Al-Shabab reportedly kills two soldiers in southern Somalia, 2018-03-05, By BBC Monitoring",BBC Monitoring
180150100,1801501,00,2018-03-05,Islamic State claims responsibility for drive-by shooting in Yemen's Aden killing two security personnel,firstpost.com
180150200,1801502,00,2018-03-04,Police officer assassinated by unknown gunmen in Iraq’s Tuz Khurmatu,iraqinews.com
180150300,1801503,00,2018-03-04,"Update-One civilian martyred, Seven injured due to shelling attacks on Damascus, Hama and Daraa – Syrian Arab News Agency",Syrian Arab News Agency
180150400,1801504,00,2018-03-04,"Update-One civilian martyred, Seven injured due to shelling attacks on Damascus, Hama and Daraa – Syrian Arab News Agency",Syrian Arab News Agency
180150500,1801505,00,2018-03-04,"Update-One civilian martyred, Seven injured due to shelling attacks on Damascus, Hama and Daraa – Syrian Arab News Agency",Syrian Arab News Agency
180150600,1801506,00,2018-03-04,"Update-One civilian martyred, Seven injured due to shelling attacks on Damascus, Hama and Daraa – Syrian Arab News Agency",Syrian Arab News Agency
180150700,1801507,00,2018-03-04,"Update-One civilian martyred, Seven injured due to shelling attacks on Damascus, Hama and Daraa – Syrian Arab News Agency",Syrian Arab News Agency
180150800,1801508,00,2018-03-04,"Update-One civilian martyred, Seven injured due to shelling attacks on Damascus, Hama and Daraa – Syrian Arab News Agency",Syrian Arab News Agency
180150900,1801509,00,2018-03-04,Terrorist organizations continue to prevent civilians to exit from Ghouta through safe corridor – Syrian Arab News Agency,Syrian Arab News Agency
180151000,1801510,00,2018-03-04,"Update-One civilian martyred, Seven injured due to shelling attacks on Damascus, Hama and Daraa – Syrian Arab News Agency",Syrian Arab News Agency
180151100,1801511,00,2018-03-04,Woman injured in NWA landmine blast,Fata Voice
180151200,1801512,00,,"On March 4, a motorcyclist was ambushed and robbed by 9 alleged LRA members on the Kitesa-Zemio road",Crisis Tracker
180151300,1801513,00,,An LRA group looted granaries in Yangou Baindji and abducted a young man,Crisis Tracker
180151400,1801514,00,,"LRA forces looted civilians along the Obo-Mboki road in CAR, looted civilians and abducted 11 people",Crisis Tracker
180151500,1801515,00,2018-03-04,"Motorcycle bombing kills rebels in Syria's Quneitra, 2018-03-04, By BBC Monitoring",BBC Monitoring
180151600,1801516,00,2018-03-04,2 PKK terrorists killed in Agri Mountain,haber7.com
180151700,1801517,00,2018-03-19,Derna Shura Council seizes weapons in Haftar-led forces’ attack on city’s western districts,libyaobserver.ly
180151800,1801518,00,2018-03-05,Govt. forces attack villagers in Central Darfur,Dabanga
180151900,1801519,00,2018-03-05,Four civilians wounded in Libya eastern forces shelling on Derna,libyaobserver.ly
180152000,1801520,00,2018-03-05,Five feared killed by Fulani in Benue community,sunnewsonline.com
180152100,1801521,00,2018-03-05,Three border guards wounded in landmine explosion in Anbar. Iraqi News. 5 March 2018. Retrieved 10 March 2018.,IraqiNews.com
180152200,1801522,00,2018-03-06,Five killed in seperate [sic] attacks in Borno villages - Vanguard News. Vanguard News. 2018-03-06. Retrieved 2018-03-07.,Vanguard News Nigeria
180152300,1801523,00,2018-03-07,"ISIS-DRC attack in Beni, DRC leaves 8 dead and 10 missing as residents fear for safety",Radio Okapi
180152400,1801524,00,2018-03-06,Soldier injured in Davao del Sur gun battle. SunStar Philippines. Retrieved 2018-08-22.,SunStar Philippines
180152500,1801525,00,2018-03-05,"Five militants reportedly killed in clashes with Iraqi militia, Al-Sumariyah News, 2018-03-05",BBC Monitoring 
180152600,1801526,00,2018-03-05,4 policeman including a Captain were killed in clashes with ISIL in Mosul.,iraqinews.com
180152700,1801527,00,2018-03-04,Two security personnel wounded in bomb blast near Iraqi-Saudi borders,iraqinews.com
180152800,1801528,00,2018-03-06,"Five militants reportedly killed in clashes with Iraqi militia, 2018-03-06, By BBC Monitoring",BBC Monitoring
180152900,1801529,00,2018-03-09,"Manipur  Four people, including two soldiers, killed in a week",Scroll.in
180153000,1801530,00,,Maharashtra  Naxals injure two cops in IED blast in Gadchiroli. New Indian Express. Retrieved 2018-08-20.,The New Indian Express
180153100,1801531,00,2018-03-06,Suicide bomber kills three in NE Nigeria  militia,Strait Times
180153200,1801532,00,2018-03-06,Sunjuwan mastermind Mufti Waqas killed in surgical attack  Top developments,Business Standard
180153300,1801533,00,2018-03-06,Chhattirsgarh  Naxalites kill former constable,Scroll.in
180153400,1801534,00,2018-03-06,"Landmine blast kills soldier in Somalia's capital, 2018-03-06, By BBC Monitoring",BBC Monitoring
180153500,1801535,00,2018-03-05,"Top security official shot dead in Aden, Yemen.",aa.com.tr
180153600,1801536,00,2018-03-05,Armed Men Torch School in Eastern Afghanistan Ariana News,Ariana News
180153700,1801537,00,2018-03-05,"Afghanistan  Two Taliban Killed By Own Explosives in Kunduz Province, Ministry of Interior Online, 2018-03-06",Afghanistan Ministry of Interior
180153800,1801538,00,2018-03-07,24 killed in fresh Benue violence,Daily Trust
180153900,1801539,00,,Four suspected terrorists gunned down in Chaman encounter Pakistan thenews.com.pk,thenews.com.pk
180154000,1801540,00,2018-03-05,"Eight people killed, injured in two bomb blasts, southwest of Baghdad",iraqinews.com
180154100,1801541,00,2018-03-05,"Eight people killed, injured in two bomb blasts, southwest of Baghdad",iraqinews.com
180154203,1801542,03,2018-03-05,"17 civilians injured in terrorist attacks with shells in Damascus,its countryside,al-Foua’a and Kefraya – Syrian Arab News Agency",Syrian Arab News Agency
180154202,1801542,02,2018-03-05,"17 civilians injured in terrorist attacks with shells in Damascus,its countryside,al-Foua’a and Kefraya – Syrian Arab News Agency",Syrian Arab News Agency
180154201,1801542,01,2018-03-05,"17 civilians injured in terrorist attacks with shells in Damascus,its countryside,al-Foua’a and Kefraya – Syrian Arab News Agency",Syrian Arab News Agency
180154300,1801543,00,2018-03-05,"17 civilians injured in terrorist attacks with shells in Damascus,its countryside,al-Foua’a and Kefraya – Syrian Arab News Agency",Syrian Arab News Agency
180154400,1801544,00,2018-03-05,"17 civilians injured in terrorist attacks with shells in Damascus,its countryside,al-Foua’a and Kefraya – Syrian Arab News Agency",Syrian Arab News Agency
180154500,1801545,00,2018-03-05,"17 civilians injured in terrorist attacks with shells in Damascus,its countryside,al-Foua’a and Kefraya – Syrian Arab News Agency",Syrian Arab News Agency
180154600,1801546,00,2018-03-05,"17 civilians injured in terrorist attacks with shells in Damascus,its countryside,al-Foua’a and Kefraya – Syrian Arab News Agency",Syrian Arab News Agency
180154700,1801547,00,2018-03-06,"Security forces kill JeM commander Mufti Waqas, mastermind of Sunjuwan camp attack",India Today
180154800,1801548,00,2018-03-05,Afghan conflict kills 5 in eastern Kunar province - Xinhua English.news.cn,XINHANET
180154900,1801549,00,,FC soldier dies in Kalat explosion,pakistantoday.com.pk
180155000,1801550,00,,LRA group comprised armed with AK-47s attacked and looted Kitesa and injured one person,Crisis Tracker
180155100,1801551,00,,"On March 5, alleged LRA abducted 7 hunters and looted 2 cyclists, 1 truck driver, and 1 cab driver north of Nambia, DRC.",Crisis Tracker
180155200,1801552,00,2018-03-15,MP  RSF ‘illegally confiscated 321 vehicles’ in North Darfur – Libya border area,Dabanga
180155300,1801553,00,2018-03-06,"Maoists torch 2 Telangana State buses, 4 private buses in Sukma district of Chhattisgarh",The Hindu
180155400,1801554,00,2018-03-05,"Two killed, one injured in Rashidieh shootouts",The Daily Star
180155500,1801555,00,2018-03-06,"An explosion of a landmine on the outskirts of Arsal, killing one person and injuring two others",LBCI Lebanon News
180155600,1801556,00,2018-03-06,1 killed in car bomb blast in Syria's Al-Bab. Anadolu Agency. Retrieved 2018-03-10.,Anadolu Agency
180155700,1801557,00,2018-03-06,2 Daesh bombers killed in Iraq's Diyala  Police source,aa.com
180155800,1801558,00,2018-03-06,"Traffic officer killed, five citizens injured in separate attacks in Baghdad",iraqinews.com
180155900,1801559,00,2018-03-06,"Baby girl killed, over 6 fighters injured as clashes renew in Libya's south",Libyan Express
180156000,1801560,00,2018-03-07,"Taliban commander killed in clash in Afghanistan - Worldnews.com, 2018-03-07",World News
180156100,1801561,00,2018-03-06,"2 dead, dozens of shops burnt as blast targets oil tanker in Nangarhar - The Khaama Press News Agency. www.khaama.com. Retrieved 2018-03-07.",The KHAAMA PRESS
180156202,1801562,02,2018-03-08,"Grenade blast kills one in Sri Lanka communal violence, social media blocked, South Asia News & Top Stories - The Straits Times",The Straits Time
180156201,1801562,01,2018-03-08,Sri Lanka 'on the brink' amid fresh anti-Muslim violence Sri Lanka News Al Jazeera,al Jazeera
180156300,1801563,00,,More Deadly Boko Haram Attacks as Tillerson Focuses on Security in Africa Visit Asharq AL-awsat,aawsat.com
180156400,1801564,00,2018-03-06,"Explosion leaves policeman killed, 3 others injured in Iraq's Anbar. Iraqi News. 6 March 2018. Retrieved 10 March 2018.",iraqinews.com
180156502,1801565,02,2018-03-06,18 civilians martyred or injured in terrorist attacks with shells on Damascus and its Countryside – Syrian Arab News Agency,SANA
180156501,1801565,01,2018-03-06,18 civilians martyred or injured in terrorist attacks with shells on Damascus and its Countryside – Syrian Arab News Agency,SANA
180156601,1801566,01,2018-03-06,18 civilians martyred or injured in terrorist attacks with shells on Damascus and its Countryside – Syrian Arab News Agency,SANA
180156602,1801566,02,2018-03-06,18 civilians martyred or injured in terrorist attacks with shells on Damascus and its Countryside – Syrian Arab News Agency,SANA
180156603,1801566,03,2018-03-06,18 civilians martyred or injured in terrorist attacks with shells on Damascus and its Countryside – Syrian Arab News Agency,SANA
180156604,1801566,04,2018-03-06,18 civilians martyred or injured in terrorist attacks with shells on Damascus and its Countryside – Syrian Arab News Agency,SANA
180156700,1801567,00,2019-03-06,"Injured Jawan Fights Four Maoists With Bare Hands, Forces Them to Flee India News, India.com",India.com
180156800,1801568,00,2018-03-06,"Renewed clashes in Libya’s Sabha leave three killed, including a kid",libyaobserver.ly
180156900,1801569,00,2018-03-06,Rice Trader Gunned Down In Broad Day Light,The Samaja
180157000,1801570,00,2018-03-08,Two policemen gunned down in Quetta,DAWN
180157100,1801571,00,2018-03-07,Death Toll Rises To Four In Kandahar Attack. TOLOnews. Retrieved 2018-03-10.,TOLOnews
180157200,1801572,00,2018-03-08,Daesh prepared bombs used in recent PKK attacks  locals,Anadolu Agency
180157300,1801573,00,2018-03-07,"Senior Iranian Kurdish commander found dead in Iraq, 2018-03-07, By BBC Monitoring",BBC Monitoring
180157400,1801574,00,2018-03-07,Bomb attack near Baghdad market leaves three civilians injured - source,iraqinews.com
180157500,1801575,00,2018-03-08,Italy news  Anti-fascists BOMB far-right party CasaPound headquarters World News Express.co.uk,Express
180157600,1801576,00,2018-03-07,Watch  Petrol bombs hurled at BJP office in Tamil Nadu – Nagpur Today   Nagpur News,Nagpur Today
180157700,1801577,00,2018-03-07,Chhattisgarh  Two BSF personnel succumb to injuries sustained in exchange of fire with Naxalites. Scroll.in. Retrieved 2018-08-20.,Scroll.in
180157800,1801578,00,2018-03-08,Somalia  Slain Regional Minister and Hirshabelle MP Laid to Rest in Mogadishu,All Africa
180157900,1801579,00,2018-03-08,"DR Congo army kills two rebels in eastern region, 2018-03-08, By BBC Monitoring",BBC Monitoring
180158000,1801580,00,2018-03-07,Adam. IS' Khorasan Province Claims Killing Afghan Official in Jalalabad Suicide Bombing. ent.siteintelgroup.com. Retrieved 2018-03-07.,Site Intelligence Group
180158100,1801581,00,2018-03-07,Civilian killed in terrorist PKK attack in SE Turkey. Anadolu Agency. Retrieved 2018-03-10.,Anadolu Agency
180158201,1801582,01,2018-03-11,"Nine killed in northeastern DR Congo violence, 2018-03-11, By BBC Monitoring",BBC Monitoring
180158202,1801582,02,2018-03-11,"Nine killed in northeastern DR Congo violence, 2018-03-11, By BBC Monitoring",BBC Monitoring
180158300,1801583,00,,"des gardes forestiers essuient des tirs d’individus non identifiés, le 7 mars 2018",omegabf.info
180158401,1801584,01,2018-03-08,Iraqi police in Diyala find bodies of 2 slain officials,basnews.com
180158402,1801584,02,2018-03-08,Iraqi police in Diyala find bodies of 2 slain officials,basnews.com
180158500,1801585,00,2018-03-08,"Iraqi joint troops foil Islamic State attacks, shell militants, south of Salahuddin",iraqinews.com
180158600,1801586,00,2018-03-08,"Nine Islamic State members, including suicide attacker, killed, west of Kirkuk",iraqinews.com
180158701,1801587,01,2018-03-07,"Seven civilians injured due to terrorist attacks with shells in Damascus, its Countryside and Aleppo – Syrian Arab News Agency",SANA
180158702,1801587,02,2018-03-07,"Seven civilians injured due to terrorist attacks with shells in Damascus, its Countryside and Aleppo – Syrian Arab News Agency",SANA
180158801,1801588,01,2018-03-07,"Seven civilians injured due to terrorist attacks with shells in Damascus, its Countryside and Aleppo – Syrian Arab News Agency",SANA
180158802,1801588,02,2018-03-07,"Seven civilians injured due to terrorist attacks with shells in Damascus, its Countryside and Aleppo – Syrian Arab News Agency",SANA
180158803,1801588,03,2018-03-07,"Seven civilians injured due to terrorist attacks with shells in Damascus, its Countryside and Aleppo – Syrian Arab News Agency",SANA
180158804,1801588,04,2018-03-07,"Seven civilians injured due to terrorist attacks with shells in Damascus, its Countryside and Aleppo – Syrian Arab News Agency",SANA
180158805,1801588,05,2018-03-07,"Seven civilians injured due to terrorist attacks with shells in Damascus, its Countryside and Aleppo – Syrian Arab News Agency",SANA
180158806,1801588,06,2018-03-07,"Seven civilians injured due to terrorist attacks with shells in Damascus, its Countryside and Aleppo – Syrian Arab News Agency",SANA
180158900,1801589,00,2018-03-07,"Seven civilians injured due to terrorist attacks with shells in Damascus, its Countryside and Aleppo – Syrian Arab News Agency",SANA
180159000,1801590,00,,Policeman protecting members of Hazara community in Quetta gunned down,dawn.com
180159100,1801591,00,2018-03-12,A soldier was killed and three students were wounded when security forces tackled militant separatists who had targeted the school in the town of Batibo.,Their World
