unique_incident_id,incident_id,incident_seq,publication_date,headline,publication
180005200,1800052,00,2018-01-02,Terrorist Attack on Check-post in Dera Bugti,Abb Takk
180005300,1800053,00,2018-01-02,Three suspected terrorists killed in Karachi operation,Samaa TV
180005400,1800054,00,2018-01-02,Bomb blast leaves two army personnel wounded in Baghdad,iraqinews.com
180005500,1800055,00,2018-01-03,Two militiamen injured in clashes with IDPs in South Darfur,Relief Web
180005600,1800056,00,2018-01-02,Grenade attack targeting Assistant Excise Commissioner’s residence,Ada Derana
180005700,1800057,00,2018-01-03,"1 civilian killed, 5 injured in Nangarhar clash",PAJHWOK
180005800,1800058,00,2018-01-03,"4 rebels, 1 ANA soldier killed in Laghman gun-battle",Pajhwok Afghan News
180005900,1800059,00,2018-01-02,5 health workers kidnapped in Ghor,PAJHWOK
180006000,1800060,00,2018-01-03,ANA troops among 8 dead in attacks - The Frontier Post,The Frontier Post
180006100,1800061,00,2018-01-03,ANA troops among 8 dead in attacks,The Frontier Post
180006200,1800062,00,2018-01-03,ANA troops among 8 dead in attacks,The Frontier Post
180006300,1800063,00,2018-01-03,Seven live bombs found in Rajasthan village,Press Trust of India
180006400,1800064,00,2018-01-02,Many feared killed as suspected herdsmen attack Benue community,Today NG
180006500,1800065,00,2018-01-02,Pakistani dies in Houthi attack in Jazan,Saudi Gazette
180006600,1800066,00,2018-01-03,Three policemen injured as bomb blast targets police patrol in Anbar. Iraqi News. 3 January 2018. Retrieved 4 January 2018.,IraqiNews.com
180006700,1800067,00,2018-01-03,"Tribal fighter killed, two police personnel wounded in clashes with IS in Kirkuk. Iraqi News. 3 January 2018. Retrieved 4 January 2018.",iraqinews.com
180006800,1800068,00,2018-01-02,Three lawyers working on IS-related cases killed in Iraq,Kurdistan24.net
180006900,1800069,00,2018-01-03,Two civilians wounded in bomb explosion in Mada'in southeast of Baghdad - Iraq News,iraqkhabar.com
180007000,1800070,00,2018-01-04,"6 civilians killed, wounded in Helmand IED explosion – The Khaama Press News Agency. www.khaama.com. Retrieved 2018-01-27.", KHAAMA PRESS
180007100,1800071,00,2018-01-04,"Teenage Suicide Bomber Kills Father, 13 Others In Borno Mosque",Independent Nigeria
180007200,1800072,00,2018-01-03,"Kaduna paramount ruler kidnapped – Punch Newspapers, 2018-01-03",Punch
180007300,1800073,00,2018-01-03,"Three mortar shells fired at southern Israel from Gaza, no injuries",The Times of Israel
180007400,1800074,00,2018-01-03,Houthies said they killed Saudi soldiers by IEDs.,almasdarnews.com
180007500,1800075,00,2018-01-03,1 killed in an IED explosion outside a mosque in Aden.,arabic.sputniknews.com
180007600,1800076,00,2018-01-03,A soldier dies and two civilians are wounded in two attacks in the capital of Somalia,Diario Digital Independiente
180007700,1800077,00,2018-01-03,A soldier dies and two civilians are wounded in two attacks in the capital of Somalia,Diario Digital Independiente
180007800,1800078,00,2018-01-07,Three border guards killed in a terrorist attack in Iran,BD Morning
180007900,1800079,00,2018-01-03,"3 Hezbollah fighters killed in Daesh ambush near Homs News , Lebanon News THE DAILY STAR",The Daily Star
180008000,1800080,00,2019-01-05,"Jammu and Kashmir  BJP says youth killed was party worker, family refutes claim India News, The Indian Express",The Indian Express
180008100,1800081,00,,Egyptian police officer killed in bomb blast in Sinai,xinhuanet.com
